"Calendar year","Month","ABS remoteness area","Cause of injury","Age group","Sex","Road user","Counterparty","Count of cases","Bed days","Died_cases","Died_bed_days","Hospitalisations"
2011,"April","Major Cities","All other trauma events","0-7","Female","Not applicable","Not applicable",765,1007,0,0,765
2011,"April","Major Cities","All other trauma events","0-7","Male","Not applicable","Not applicable",1010,1694,0,0,1010
2011,"April","Major Cities","All other trauma events","17-25","Female","Not applicable","Not applicable",859,1597,0,0,859
2011,"April","Major Cities","All other trauma events","17-25","Male","Not applicable","Not applicable",2231,3878,2,3,2229
2011,"April","Major Cities","All other trauma events","26-39","Female","Not applicable","Not applicable",1098,2347,1,14,1097
2011,"April","Major Cities","All other trauma events","26-39","Male","Not applicable","Not applicable",2339,4686,7,25,2332
2011,"April","Major Cities","All other trauma events","40-64","Female","Not applicable","Not applicable",2060,6506,3,12,2057
2011,"April","Major Cities","All other trauma events","40-64","Male","Not applicable","Not applicable",2688,8527,6,47,2682
2011,"April","Major Cities","All other trauma events","65-74","Female","Not applicable","Not applicable",960,5174,4,57,956
2011,"April","Major Cities","All other trauma events","65-74","Male","Not applicable","Not applicable",661,3382,5,47,656
2011,"April","Major Cities","All other trauma events","75+","Female","Not applicable","Not applicable",3288,26974,77,652,3211
2011,"April","Major Cities","All other trauma events","75+","Male","Not applicable","Not applicable",1480,11983,62,537,1418
2011,"April","Major Cities","All other trauma events","8-16","Female","Not applicable","Not applicable",562,943,0,0,562
2011,"April","Major Cities","All other trauma events","8-16","Male","Not applicable","Not applicable",1239,1973,1,3,1238
2011,"April","Major Cities","Medical events","0-7","Female","Not applicable","Not applicable",8083,27401,11,121,8072
2011,"April","Major Cities","Medical events","0-7","Male","Not applicable","Not applicable",11119,34808,19,217,11100
2011,"April","Major Cities","Medical events","17-25","Female","Not applicable","Not applicable",16666,38207,4,24,16662
2011,"April","Major Cities","Medical events","17-25","Male","Not applicable","Not applicable",7972,24280,2,4,7970
2011,"April","Major Cities","Medical events","26-39","Female","Not applicable","Not applicable",44976,113643,11,81,44965
2011,"April","Major Cities","Medical events","26-39","Male","Not applicable","Not applicable",16814,53366,18,140,16796
2011,"April","Major Cities","Medical events","40-64","Female","Not applicable","Not applicable",72908,162113,140,1725,72768
2011,"April","Major Cities","Medical events","40-64","Male","Not applicable","Not applicable",67962,150673,210,2245,67752
2011,"April","Major Cities","Medical events","65-74","Female","Not applicable","Not applicable",31963,84980,164,1993,31799
2011,"April","Major Cities","Medical events","65-74","Male","Not applicable","Not applicable",38131,95210,250,2630,37881
2011,"April","Major Cities","Medical events","75+","Female","Not applicable","Not applicable",40755,186660,694,6432,40061
2011,"April","Major Cities","Medical events","75+","Male","Not applicable","Not applicable",43899,152459,690,6416,43209
2011,"April","Major Cities","Medical events","8-16","Female","Not applicable","Not applicable",4831,11237,0,0,4831
2011,"April","Major Cities","Medical events","8-16","Male","Not applicable","Not applicable",4828,11091,1,4,4827
2011,"April","Major Cities","Non-traffic","0-7","Female","Not applicable","Not applicable",11,12,0,0,11
2011,"April","Major Cities","Non-traffic","0-7","Male","Not applicable","Not applicable",25,67,0,0,25
2011,"April","Major Cities","Non-traffic","17-25","Female","Not applicable","Not applicable",19,23,0,0,19
2011,"April","Major Cities","Non-traffic","17-25","Male","Not applicable","Not applicable",109,288,0,0,109
2011,"April","Major Cities","Non-traffic","26-39","Female","Not applicable","Not applicable",17,25,0,0,17
2011,"April","Major Cities","Non-traffic","26-39","Male","Not applicable","Not applicable",107,384,0,0,107
2011,"April","Major Cities","Non-traffic","40-64","Female","Not applicable","Not applicable",32,135,0,0,32
2011,"April","Major Cities","Non-traffic","40-64","Male","Not applicable","Not applicable",130,630,0,0,130
2011,"April","Major Cities","Non-traffic","65-74","Female","Not applicable","Not applicable",7,20,0,0,7
2011,"April","Major Cities","Non-traffic","65-74","Male","Not applicable","Not applicable",12,64,0,0,12
2011,"April","Major Cities","Non-traffic","75+","Female","Not applicable","Not applicable",16,174,0,0,16
2011,"April","Major Cities","Non-traffic","75+","Male","Not applicable","Not applicable",13,134,0,0,13
2011,"April","Major Cities","Non-traffic","8-16","Female","Not applicable","Not applicable",19,39,0,0,19
2011,"April","Major Cities","Non-traffic","8-16","Male","Not applicable","Not applicable",113,205,0,0,113
2011,"April","Major Cities","Other transport","0-7","Male","Not applicable","Not applicable",3,4,0,0,3
2011,"April","Major Cities","Other transport","17-25","Female","Not applicable","Not applicable",2,9,0,0,2
2011,"April","Major Cities","Other transport","17-25","Male","Not applicable","Not applicable",8,19,0,0,8
2011,"April","Major Cities","Other transport","26-39","Female","Not applicable","Not applicable",4,5,0,0,4
2011,"April","Major Cities","Other transport","26-39","Male","Not applicable","Not applicable",13,24,0,0,13
2011,"April","Major Cities","Other transport","40-64","Female","Not applicable","Not applicable",10,26,0,0,10
2011,"April","Major Cities","Other transport","40-64","Male","Not applicable","Not applicable",17,57,0,0,17
2011,"April","Major Cities","Other transport","65-74","Male","Not applicable","Not applicable",3,27,0,0,3
2011,"April","Major Cities","Other transport","75+","Female","Not applicable","Not applicable",1,13,0,0,1
2011,"April","Major Cities","Other transport","75+","Male","Not applicable","Not applicable",5,27,0,0,5
2011,"April","Major Cities","Other transport","8-16","Female","Not applicable","Not applicable",1,9,0,0,1
2011,"April","Major Cities","Other transport","8-16","Male","Not applicable","Not applicable",4,23,0,0,4
2011,"April","Major Cities","Traffic","0-7","Female","Car passenger","Car, pick-up truck or van",5,214,0,0,5
2011,"April","Major Cities","Traffic","0-7","Female","Car passenger","Fixed or stationary object",2,21,0,0,2
2011,"April","Major Cities","Traffic","0-7","Female","Car passenger","Heavy transport vehicle or bus",1,1,0,0,1
2011,"April","Major Cities","Traffic","0-7","Female","Car passenger","Non-collision transport accident",1,1,0,0,1
2011,"April","Major Cities","Traffic","0-7","Female","Car unknown position","Other and unspecified transport accidents",2,2,0,0,2
2011,"April","Major Cities","Traffic","0-7","Female","Heavy transport passenger","Non-collision transport accident",1,1,0,0,1
2011,"April","Major Cities","Traffic","0-7","Female","Pedal cyclist","Non-collision transport accident",1,1,0,0,1
2011,"April","Major Cities","Traffic","0-7","Female","Pedal cyclist","Other and unspecified transport accidents",1,2,0,0,1
2011,"April","Major Cities","Traffic","0-7","Female","Pedestrian","Car, pick-up truck or van",5,18,0,0,5
2011,"April","Major Cities","Traffic","0-7","Male","Car passenger","Car, pick-up truck or van",4,5,0,0,4
2011,"April","Major Cities","Traffic","0-7","Male","Car passenger","Fixed or stationary object",3,15,0,0,3
2011,"April","Major Cities","Traffic","0-7","Male","Car passenger","Non-collision transport accident",2,3,0,0,2
2011,"April","Major Cities","Traffic","0-7","Male","Motorcyclist","Car, pick-up truck or van",1,1,0,0,1
2011,"April","Major Cities","Traffic","0-7","Male","Pedal cyclist","Car, pick-up truck or van",1,1,0,0,1
2011,"April","Major Cities","Traffic","0-7","Male","Pedal cyclist","Fixed or stationary object",1,1,0,0,1
2011,"April","Major Cities","Traffic","0-7","Male","Pedal cyclist","Non-collision transport accident",2,2,0,0,2
2011,"April","Major Cities","Traffic","0-7","Male","Pedal cyclist","Other and unspecified transport accidents",4,4,0,0,4
2011,"April","Major Cities","Traffic","0-7","Male","Pedestrian","Car, pick-up truck or van",4,17,0,0,4
2011,"April","Major Cities","Traffic","17-25","Female","Bus occupant","Non-collision transport accident",1,1,0,0,1
2011,"April","Major Cities","Traffic","17-25","Female","Car driver","Car, pick-up truck or van",43,154,0,0,43
2011,"April","Major Cities","Traffic","17-25","Female","Car driver","Fixed or stationary object",15,30,0,0,15
2011,"April","Major Cities","Traffic","17-25","Female","Car driver","Heavy transport vehicle or bus",4,17,0,0,4
2011,"April","Major Cities","Traffic","17-25","Female","Car driver","Non-collision transport accident",6,10,0,0,6
2011,"April","Major Cities","Traffic","17-25","Female","Car passenger","Car, pick-up truck or van",28,44,0,0,28
2011,"April","Major Cities","Traffic","17-25","Female","Car passenger","Fixed or stationary object",6,15,0,0,6
2011,"April","Major Cities","Traffic","17-25","Female","Car passenger","Non-collision transport accident",6,10,0,0,6
2011,"April","Major Cities","Traffic","17-25","Female","Car unknown position","Car, pick-up truck or van",2,4,0,0,2
2011,"April","Major Cities","Traffic","17-25","Female","Car unknown position","Other and unspecified transport accidents",3,6,0,0,3
2011,"April","Major Cities","Traffic","17-25","Female","Motorcyclist","2- or 3- wheeled motor vehicle",1,1,0,0,1
2011,"April","Major Cities","Traffic","17-25","Female","Motorcyclist","Car, pick-up truck or van",4,8,0,0,4
2011,"April","Major Cities","Traffic","17-25","Female","Motorcyclist","Fixed or stationary object",1,1,0,0,1
2011,"April","Major Cities","Traffic","17-25","Female","Motorcyclist","Non-collision transport accident",8,33,0,0,8
2011,"April","Major Cities","Traffic","17-25","Female","Motorcyclist","Other and unspecified transport accidents",1,1,0,0,1
2011,"April","Major Cities","Traffic","17-25","Female","Other or unknown","Other and unspecified transport accidents",2,2,0,0,2
2011,"April","Major Cities","Traffic","17-25","Female","Pedal cyclist","Car, pick-up truck or van",3,5,0,0,3
2011,"April","Major Cities","Traffic","17-25","Female","Pedal cyclist","Heavy transport vehicle or bus",1,9,0,0,1
2011,"April","Major Cities","Traffic","17-25","Female","Pedal cyclist","Non-collision transport accident",3,7,0,0,3
2011,"April","Major Cities","Traffic","17-25","Female","Pedal cyclist","Pedal cycle",1,1,0,0,1
2011,"April","Major Cities","Traffic","17-25","Female","Pedestrian","Car, pick-up truck or van",14,32,0,0,14
2011,"April","Major Cities","Traffic","17-25","Female","Pedestrian","Other non-motor vehicle",1,3,0,0,1
2011,"April","Major Cities","Traffic","17-25","Female","Pick-up truck or van occupant","Car, pick-up truck or van",1,4,0,0,1
2011,"April","Major Cities","Traffic","17-25","Male","Bus occupant","Fixed or stationary object",1,1,0,0,1
2011,"April","Major Cities","Traffic","17-25","Male","Bus occupant","Other and unspecified transport accidents",1,1,0,0,1
2011,"April","Major Cities","Traffic","17-25","Male","Car driver","Car, pick-up truck or van",36,111,0,0,36
2011,"April","Major Cities","Traffic","17-25","Male","Car driver","Fixed or stationary object",36,122,0,0,36
2011,"April","Major Cities","Traffic","17-25","Male","Car driver","Heavy transport vehicle or bus",1,1,0,0,1
2011,"April","Major Cities","Traffic","17-25","Male","Car driver","Non-collision transport accident",8,20,0,0,8
2011,"April","Major Cities","Traffic","17-25","Male","Car driver","Other and unspecified transport accidents",2,2,0,0,2
2011,"April","Major Cities","Traffic","17-25","Male","Car passenger","Car, pick-up truck or van",18,35,1,8,17
2011,"April","Major Cities","Traffic","17-25","Male","Car passenger","Fixed or stationary object",16,106,0,0,16
2011,"April","Major Cities","Traffic","17-25","Male","Car passenger","Non-collision transport accident",4,28,0,0,4
2011,"April","Major Cities","Traffic","17-25","Male","Car passenger","Other and unspecified transport accidents",1,1,0,0,1
2011,"April","Major Cities","Traffic","17-25","Male","Car unknown position","Non-collision transport accident",1,1,0,0,1
2011,"April","Major Cities","Traffic","17-25","Male","Heavy transport unknown position","Other and unspecified transport accidents",0,6,0,0,0
2011,"April","Major Cities","Traffic","17-25","Male","Motorcyclist","2- or 3- wheeled motor vehicle",3,10,0,0,3
2011,"April","Major Cities","Traffic","17-25","Male","Motorcyclist","Car, pick-up truck or van",32,166,0,0,32
2011,"April","Major Cities","Traffic","17-25","Male","Motorcyclist","Fixed or stationary object",17,247,1,1,16
2011,"April","Major Cities","Traffic","17-25","Male","Motorcyclist","Heavy transport vehicle or bus",1,4,0,0,1
2011,"April","Major Cities","Traffic","17-25","Male","Motorcyclist","Non-collision transport accident",36,120,0,0,36
2011,"April","Major Cities","Traffic","17-25","Male","Motorcyclist","Other and unspecified transport accidents",18,56,0,0,18
2011,"April","Major Cities","Traffic","17-25","Male","Motorcyclist","Pedestrian or animal",1,6,0,0,1
2011,"April","Major Cities","Traffic","17-25","Male","Other or unknown","Other and unspecified transport accidents",4,19,0,0,4
2011,"April","Major Cities","Traffic","17-25","Male","Pedal cyclist","Car, pick-up truck or van",8,31,0,0,8
2011,"April","Major Cities","Traffic","17-25","Male","Pedal cyclist","Fixed or stationary object",3,14,0,0,3
2011,"April","Major Cities","Traffic","17-25","Male","Pedal cyclist","Non-collision transport accident",8,31,0,0,8
2011,"April","Major Cities","Traffic","17-25","Male","Pedal cyclist","Other and unspecified transport accidents",12,13,0,0,12
2011,"April","Major Cities","Traffic","17-25","Male","Pedal cyclist","Pedal cycle",1,1,0,0,1
2011,"April","Major Cities","Traffic","17-25","Male","Pedestrian","2- or 3- wheeled motor vehicle",1,6,0,0,1
2011,"April","Major Cities","Traffic","17-25","Male","Pedestrian","Car, pick-up truck or van",25,132,0,0,25
2011,"April","Major Cities","Traffic","17-25","Male","Pedestrian","Heavy transport vehicle or bus",1,1,0,0,1
2011,"April","Major Cities","Traffic","26-39","Female","Car driver","Car, pick-up truck or van",40,64,0,0,40
2011,"April","Major Cities","Traffic","26-39","Female","Car driver","Fixed or stationary object",26,107,0,0,26
2011,"April","Major Cities","Traffic","26-39","Female","Car driver","Heavy transport vehicle or bus",1,1,0,0,1
2011,"April","Major Cities","Traffic","26-39","Female","Car driver","Non-collision transport accident",3,35,0,0,3
2011,"April","Major Cities","Traffic","26-39","Female","Car passenger","2- or 3- wheeled motor vehicle",1,16,0,0,1
2011,"April","Major Cities","Traffic","26-39","Female","Car passenger","Car, pick-up truck or van",22,39,0,0,22
2011,"April","Major Cities","Traffic","26-39","Female","Car passenger","Fixed or stationary object",5,15,0,0,5
2011,"April","Major Cities","Traffic","26-39","Female","Car passenger","Heavy transport vehicle or bus",1,1,0,0,1
2011,"April","Major Cities","Traffic","26-39","Female","Car passenger","Non-collision transport accident",1,1,0,0,1
2011,"April","Major Cities","Traffic","26-39","Female","Car unknown position","Car, pick-up truck or van",1,1,0,0,1
2011,"April","Major Cities","Traffic","26-39","Female","Car unknown position","Other and unspecified transport accidents",2,2,0,0,2
2011,"April","Major Cities","Traffic","26-39","Female","Motorcyclist","Car, pick-up truck or van",1,28,0,0,1
2011,"April","Major Cities","Traffic","26-39","Female","Motorcyclist","Non-collision transport accident",6,15,0,0,6
2011,"April","Major Cities","Traffic","26-39","Female","Motorcyclist","Other and unspecified transport accidents",2,4,0,0,2
2011,"April","Major Cities","Traffic","26-39","Female","Other or unknown","Other and unspecified transport accidents",1,3,0,0,1
2011,"April","Major Cities","Traffic","26-39","Female","Pedal cyclist","2- or 3- wheeled motor vehicle",0,3,0,0,0
2011,"April","Major Cities","Traffic","26-39","Female","Pedal cyclist","Car, pick-up truck or van",3,4,0,0,3
2011,"April","Major Cities","Traffic","26-39","Female","Pedal cyclist","Fixed or stationary object",1,6,0,0,1
2011,"April","Major Cities","Traffic","26-39","Female","Pedal cyclist","Non-collision transport accident",6,7,0,0,6
2011,"April","Major Cities","Traffic","26-39","Female","Pedal cyclist","Other and unspecified transport accidents",4,6,0,0,4
2011,"April","Major Cities","Traffic","26-39","Female","Pedestrian","2- or 3- wheeled motor vehicle",2,2,0,0,2
2011,"April","Major Cities","Traffic","26-39","Female","Pedestrian","Car, pick-up truck or van",17,71,0,0,17
2011,"April","Major Cities","Traffic","26-39","Female","Pedestrian","Heavy transport vehicle or bus",1,15,0,0,1
2011,"April","Major Cities","Traffic","26-39","Female","Pedestrian","Other and unspecified transport accidents",1,1,0,0,1
2011,"April","Major Cities","Traffic","26-39","Female","Pick-up truck or van occupant","Car, pick-up truck or van",1,8,0,0,1
2011,"April","Major Cities","Traffic","26-39","Male","Car driver","Car, pick-up truck or van",32,97,0,0,32
2011,"April","Major Cities","Traffic","26-39","Male","Car driver","Fixed or stationary object",29,134,0,0,29
2011,"April","Major Cities","Traffic","26-39","Male","Car driver","Heavy transport vehicle or bus",3,66,0,0,3
2011,"April","Major Cities","Traffic","26-39","Male","Car driver","Non-collision transport accident",9,15,0,0,9
2011,"April","Major Cities","Traffic","26-39","Male","Car driver","Other and unspecified transport accidents",2,2,0,0,2
2011,"April","Major Cities","Traffic","26-39","Male","Car driver","Pedestrian or animal",1,6,0,0,1
2011,"April","Major Cities","Traffic","26-39","Male","Car passenger","Car, pick-up truck or van",7,20,0,0,7
2011,"April","Major Cities","Traffic","26-39","Male","Car passenger","Fixed or stationary object",4,22,0,0,4
2011,"April","Major Cities","Traffic","26-39","Male","Car passenger","Non-collision transport accident",5,32,0,0,5
2011,"April","Major Cities","Traffic","26-39","Male","Car passenger","Other and unspecified transport accidents",1,1,0,0,1
2011,"April","Major Cities","Traffic","26-39","Male","Car unknown position","Car, pick-up truck or van",1,1,0,0,1
2011,"April","Major Cities","Traffic","26-39","Male","Car unknown position","Heavy transport vehicle or bus",1,1,0,0,1
2011,"April","Major Cities","Traffic","26-39","Male","Car unknown position","Other and unspecified transport accidents",2,2,0,0,2
2011,"April","Major Cities","Traffic","26-39","Male","Heavy transport driver","Car, pick-up truck or van",1,2,0,0,1
2011,"April","Major Cities","Traffic","26-39","Male","Heavy transport driver","Fixed or stationary object",2,2,0,0,2
2011,"April","Major Cities","Traffic","26-39","Male","Heavy transport driver","Heavy transport vehicle or bus",2,6,0,0,2
2011,"April","Major Cities","Traffic","26-39","Male","Heavy transport driver","Non-collision transport accident",1,1,0,0,1
2011,"April","Major Cities","Traffic","26-39","Male","Heavy transport unknown position","Non-collision transport accident",1,5,0,0,1
2011,"April","Major Cities","Traffic","26-39","Male","Heavy transport unknown position","Other and unspecified transport accidents",1,1,0,0,1
2011,"April","Major Cities","Traffic","26-39","Male","Motorcyclist","2- or 3- wheeled motor vehicle",3,29,0,0,3
2011,"April","Major Cities","Traffic","26-39","Male","Motorcyclist","Car, pick-up truck or van",35,226,0,0,35
2011,"April","Major Cities","Traffic","26-39","Male","Motorcyclist","Fixed or stationary object",14,194,1,2,13
2011,"April","Major Cities","Traffic","26-39","Male","Motorcyclist","Heavy transport vehicle or bus",1,11,0,0,1
2011,"April","Major Cities","Traffic","26-39","Male","Motorcyclist","Non-collision transport accident",48,136,0,0,48
2011,"April","Major Cities","Traffic","26-39","Male","Motorcyclist","Other and unspecified transport accidents",17,31,0,0,17
2011,"April","Major Cities","Traffic","26-39","Male","Motorcyclist","Pedestrian or animal",2,17,0,0,2
2011,"April","Major Cities","Traffic","26-39","Male","Other or unknown","Other and unspecified transport accidents",3,11,0,0,3
2011,"April","Major Cities","Traffic","26-39","Male","Pedal cyclist","Car, pick-up truck or van",19,43,0,0,19
2011,"April","Major Cities","Traffic","26-39","Male","Pedal cyclist","Fixed or stationary object",3,7,0,0,3
2011,"April","Major Cities","Traffic","26-39","Male","Pedal cyclist","Non-collision transport accident",25,62,0,0,25
2011,"April","Major Cities","Traffic","26-39","Male","Pedal cyclist","Other and unspecified transport accidents",16,32,0,0,16
2011,"April","Major Cities","Traffic","26-39","Male","Pedal cyclist","Pedal cycle",7,11,0,0,7
2011,"April","Major Cities","Traffic","26-39","Male","Pedestrian","2- or 3- wheeled motor vehicle",1,1,0,0,1
2011,"April","Major Cities","Traffic","26-39","Male","Pedestrian","Car, pick-up truck or van",10,49,0,0,10
2011,"April","Major Cities","Traffic","40-64","Female","Bus occupant","Non-collision transport accident",1,1,0,0,1
2011,"April","Major Cities","Traffic","40-64","Female","Car driver","Car, pick-up truck or van",68,165,0,0,68
2011,"April","Major Cities","Traffic","40-64","Female","Car driver","Fixed or stationary object",8,27,0,0,8
2011,"April","Major Cities","Traffic","40-64","Female","Car driver","Heavy transport vehicle or bus",9,20,0,0,9
2011,"April","Major Cities","Traffic","40-64","Female","Car driver","Non-collision transport accident",6,16,0,0,6
2011,"April","Major Cities","Traffic","40-64","Female","Car driver","Other and unspecified transport accidents",3,6,0,0,3
2011,"April","Major Cities","Traffic","40-64","Female","Car passenger","Car, pick-up truck or van",22,45,0,0,22
2011,"April","Major Cities","Traffic","40-64","Female","Car passenger","Fixed or stationary object",3,18,0,0,3
2011,"April","Major Cities","Traffic","40-64","Female","Car passenger","Heavy transport vehicle or bus",1,1,0,0,1
2011,"April","Major Cities","Traffic","40-64","Female","Car passenger","Non-collision transport accident",3,6,0,0,3
2011,"April","Major Cities","Traffic","40-64","Female","Car unknown position","Other and unspecified transport accidents",2,17,0,0,2
2011,"April","Major Cities","Traffic","40-64","Female","Motorcyclist","2- or 3- wheeled motor vehicle",1,4,0,0,1
2011,"April","Major Cities","Traffic","40-64","Female","Motorcyclist","Car, pick-up truck or van",5,15,0,0,5
2011,"April","Major Cities","Traffic","40-64","Female","Motorcyclist","Fixed or stationary object",3,22,0,0,3
2011,"April","Major Cities","Traffic","40-64","Female","Motorcyclist","Non-collision transport accident",7,17,0,0,7
2011,"April","Major Cities","Traffic","40-64","Female","Motorcyclist","Other and unspecified transport accidents",3,10,0,0,3
2011,"April","Major Cities","Traffic","40-64","Female","Motorcyclist","Pedestrian or animal",1,4,0,0,1
2011,"April","Major Cities","Traffic","40-64","Female","Other or unknown","Other and unspecified transport accidents",4,7,0,0,4
2011,"April","Major Cities","Traffic","40-64","Female","Pedal cyclist","2- or 3- wheeled motor vehicle",0,3,0,0,0
2011,"April","Major Cities","Traffic","40-64","Female","Pedal cyclist","Car, pick-up truck or van",13,44,0,0,13
2011,"April","Major Cities","Traffic","40-64","Female","Pedal cyclist","Fixed or stationary object",1,1,0,0,1
2011,"April","Major Cities","Traffic","40-64","Female","Pedal cyclist","Non-collision transport accident",13,29,0,0,13
2011,"April","Major Cities","Traffic","40-64","Female","Pedal cyclist","Other and unspecified transport accidents",13,20,0,0,13
2011,"April","Major Cities","Traffic","40-64","Female","Pedal cyclist","Pedal cycle",2,3,0,0,2
2011,"April","Major Cities","Traffic","40-64","Female","Pedestrian","Car, pick-up truck or van",19,175,1,1,18
2011,"April","Major Cities","Traffic","40-64","Female","Pick-up truck or van occupant","Car, pick-up truck or van",1,1,0,0,1
2011,"April","Major Cities","Traffic","40-64","Male","Bus occupant","Non-collision transport accident",1,2,0,0,1
2011,"April","Major Cities","Traffic","40-64","Male","Car driver","Car, pick-up truck or van",54,253,0,0,54
2011,"April","Major Cities","Traffic","40-64","Male","Car driver","Fixed or stationary object",20,127,0,0,20
2011,"April","Major Cities","Traffic","40-64","Male","Car driver","Heavy transport vehicle or bus",6,25,0,0,6
2011,"April","Major Cities","Traffic","40-64","Male","Car driver","Non-collision transport accident",10,48,0,0,10
2011,"April","Major Cities","Traffic","40-64","Male","Car driver","Other non-motor vehicle",1,1,0,0,1
2011,"April","Major Cities","Traffic","40-64","Male","Car passenger","Car, pick-up truck or van",8,22,0,0,8
2011,"April","Major Cities","Traffic","40-64","Male","Car passenger","Fixed or stationary object",1,10,0,0,1
2011,"April","Major Cities","Traffic","40-64","Male","Car passenger","Heavy transport vehicle or bus",0,59,0,0,0
2011,"April","Major Cities","Traffic","40-64","Male","Car passenger","Other and unspecified transport accidents",1,2,0,0,1
2011,"April","Major Cities","Traffic","40-64","Male","Car passenger","Train",1,2,0,0,1
2011,"April","Major Cities","Traffic","40-64","Male","Car unknown position","Other and unspecified transport accidents",5,9,0,0,5
2011,"April","Major Cities","Traffic","40-64","Male","Car unknown position","Pedestrian or animal",1,27,0,0,1
2011,"April","Major Cities","Traffic","40-64","Male","Heavy transport driver","Non-collision transport accident",6,30,0,0,6
2011,"April","Major Cities","Traffic","40-64","Male","Heavy transport passenger","Heavy transport vehicle or bus",1,4,0,0,1
2011,"April","Major Cities","Traffic","40-64","Male","Heavy transport unknown position","Non-collision transport accident",1,25,0,0,1
2011,"April","Major Cities","Traffic","40-64","Male","Motorcyclist","2- or 3- wheeled motor vehicle",2,6,0,0,2
2011,"April","Major Cities","Traffic","40-64","Male","Motorcyclist","Car, pick-up truck or van",36,223,0,0,36
2011,"April","Major Cities","Traffic","40-64","Male","Motorcyclist","Fixed or stationary object",8,15,0,0,8
2011,"April","Major Cities","Traffic","40-64","Male","Motorcyclist","Heavy transport vehicle or bus",1,3,0,0,1
2011,"April","Major Cities","Traffic","40-64","Male","Motorcyclist","Non-collision transport accident",59,253,0,0,59
2011,"April","Major Cities","Traffic","40-64","Male","Motorcyclist","Other and unspecified transport accidents",20,46,0,0,20
2011,"April","Major Cities","Traffic","40-64","Male","Motorcyclist","Pedestrian or animal",1,19,0,0,1
2011,"April","Major Cities","Traffic","40-64","Male","Other or unknown","Other and unspecified transport accidents",6,13,0,0,6
2011,"April","Major Cities","Traffic","40-64","Male","Pedal cyclist","Car, pick-up truck or van",31,139,1,1,30
2011,"April","Major Cities","Traffic","40-64","Male","Pedal cyclist","Fixed or stationary object",9,39,0,0,9
2011,"April","Major Cities","Traffic","40-64","Male","Pedal cyclist","Heavy transport vehicle or bus",2,74,0,0,2
2011,"April","Major Cities","Traffic","40-64","Male","Pedal cyclist","Non-collision transport accident",46,166,0,0,46
2011,"April","Major Cities","Traffic","40-64","Male","Pedal cyclist","Other and unspecified transport accidents",16,32,0,0,16
2011,"April","Major Cities","Traffic","40-64","Male","Pedal cyclist","Pedal cycle",7,42,0,0,7
2011,"April","Major Cities","Traffic","40-64","Male","Pedestrian","2- or 3- wheeled motor vehicle",1,14,0,0,1
2011,"April","Major Cities","Traffic","40-64","Male","Pedestrian","Car, pick-up truck or van",16,69,0,0,16
2011,"April","Major Cities","Traffic","40-64","Male","Pedestrian","Heavy transport vehicle or bus",3,17,1,4,2
2011,"April","Major Cities","Traffic","40-64","Male","Pedestrian","Other and unspecified transport accidents",1,3,0,0,1
2011,"April","Major Cities","Traffic","40-64","Male","Pick-up truck or van occupant","Car, pick-up truck or van",2,3,0,0,2
2011,"April","Major Cities","Traffic","40-64","Male","Pick-up truck or van occupant","Fixed or stationary object",1,1,0,0,1
2011,"April","Major Cities","Traffic","40-64","Male","Pick-up truck or van occupant","Non-collision transport accident",1,1,0,0,1
2011,"April","Major Cities","Traffic","65-74","Female","Bus occupant","Other and unspecified transport accidents",1,10,0,0,1
2011,"April","Major Cities","Traffic","65-74","Female","Car driver","2- or 3- wheeled motor vehicle",2,4,0,0,2
2011,"April","Major Cities","Traffic","65-74","Female","Car driver","Car, pick-up truck or van",17,56,0,0,17
2011,"April","Major Cities","Traffic","65-74","Female","Car driver","Fixed or stationary object",4,28,0,0,4
2011,"April","Major Cities","Traffic","65-74","Female","Car driver","Non-collision transport accident",3,3,0,0,3
2011,"April","Major Cities","Traffic","65-74","Female","Car passenger","Car, pick-up truck or van",11,54,0,0,11
2011,"April","Major Cities","Traffic","65-74","Female","Car passenger","Fixed or stationary object",2,2,0,0,2
2011,"April","Major Cities","Traffic","65-74","Female","Car passenger","Other non-motor vehicle",1,2,0,0,1
2011,"April","Major Cities","Traffic","65-74","Female","Car unknown position","Other and unspecified transport accidents",1,1,0,0,1
2011,"April","Major Cities","Traffic","65-74","Female","Motorcyclist","Car, pick-up truck or van",1,4,0,0,1
2011,"April","Major Cities","Traffic","65-74","Female","Pedal cyclist","Non-collision transport accident",2,5,0,0,2
2011,"April","Major Cities","Traffic","65-74","Female","Pedestrian","Car, pick-up truck or van",9,95,0,0,9
2011,"April","Major Cities","Traffic","65-74","Male","Car driver","Car, pick-up truck or van",13,47,0,0,13
2011,"April","Major Cities","Traffic","65-74","Male","Car driver","Fixed or stationary object",7,37,0,0,7
2011,"April","Major Cities","Traffic","65-74","Male","Car driver","Heavy transport vehicle or bus",1,1,0,0,1
2011,"April","Major Cities","Traffic","65-74","Male","Car driver","Non-collision transport accident",2,39,0,0,2
2011,"April","Major Cities","Traffic","65-74","Male","Car driver","Other non-motor vehicle",1,10,0,0,1
2011,"April","Major Cities","Traffic","65-74","Male","Car passenger","Car, pick-up truck or van",1,2,0,0,1
2011,"April","Major Cities","Traffic","65-74","Male","Heavy transport passenger","Non-collision transport accident",1,6,0,0,1
2011,"April","Major Cities","Traffic","65-74","Male","Motorcyclist","Car, pick-up truck or van",3,10,0,0,3
